iter	Passed	Remaining
0	1	99
1	1	91
2	2	94
3	3	85
4	4	83
5	5	85
6	6	91
7	7	89
8	8	88
9	9	88
10	10	85
11	11	83
12	12	81
13	12	79
14	13	77
15	14	75
16	15	74
17	16	73
18	17	74
19	18	72
20	19	71
21	19	70
22	20	69
23	21	67
24	22	67
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	26	59
31	27	58
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	33	50
40	34	50
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
