iter	Passed	Remaining
0	1	1762
1	4	2045
2	5	1908
3	8	2076
4	9	1903
5	10	1767
6	11	1697
7	13	1679
8	14	1634
9	17	1713
10	19	1749
11	21	1787
12	22	1733
13	23	1688
14	25	1649
15	26	1620
16	35	2036
17	37	2024
18	38	1975
19	39	1925
20	40	1872
21	41	1825
22	44	1891
23	47	1917
24	51	2016
25	52	1980
26	53	1943
27	54	1908
28	56	1887
29	63	2053
30	64	2021
31	65	1989
32	67	1966
33	68	1946
34	69	1919
35	71	1901
36	72	1883
37	75	1912
38	77	1904
39	79	1912
40	82	1939
41	84	1918
42	85	1902
43	87	1905
44	89	1907
45	91	1897
46	92	1879
47	93	1861
48	95	1845
49	98	1865
50	101	1886
51	103	1893
52	106	1898
53	107	1881
54	108	1867
55	109	1850
56	110	1833
57	113	1840
58	117	1877
59	119	1867
60	120	1854
61	121	1841
62	122	1822
63	124	1815
64	127	1830
65	129	1829
66	131	1825
67	132	1813
68	133	1800
69	134	1789
70	135	1776
71	137	1769
72	139	1775
73	141	1767
74	142	1758
75	143	1747
76	144	1736
77	145	1722
78	146	1712
79	148	1705
80	150	1709
81	155	1745
82	156	1731
83	157	1722
84	159	1714
85	160	1703
86	161	1690
87	162	1680
88	164	1686
89	166	1685
90	168	1684
91	170	1678
92	171	1671
93	172	1660
94	173	1650
95	174	1641
96	175	1630
97	177	1630
98	179	1630
99	180	1627
100	185	1648
101	186	1640
102	187	1630
103	188	1620
104	189	1611
105	189	1601
106	195	1630
107	197	1630
108	200	1638
109	201	1631
110	202	1624
111	203	1614
112	204	1605
113	205	1597
114	210	1618
115	212	1616
116	213	1608
117	215	1608
118	216	1600
119	217	1593
120	218	1585
121	218	1575
122	219	1565
123	220	1556
124	222	1559
125	225	1563
126	226	1557
127	229	1561
128	230	1555
129	231	1549
130	232	1543
131	234	1539
132	235	1532
133	246	1594
134	247	1587
135	248	1580
136	250	1575
137	251	1569
138	252	1564
139	256	1574
140	257	1570
141	260	1574
142	261	1568
143	263	1563
144	264	1557
145	265	1551
146	266	1543
147	266	1536
148	268	1530
149	271	1535
150	272	1532
151	274	1532
152	275	1527
153	277	1521
154	278	1516
155	279	1511
156	280	1504
157	281	1497
158	281	1490
159	284	1494
160	286	1491
161	289	1497
162	290	1493
163	291	1488
164	293	1485
165	294	1481
166	296	1477
167	297	1473
168	300	1478
169	302	1475
170	304	1474
171	305	1470
172	307	1467
173	308	1462
174	309	1457
175	310	1452
176	311	1447
177	313	1445
178	320	1468
179	321	1463
180	322	1458
181	323	1455
182	325	1451
183	326	1446
184	327	1441
185	329	1439
186	330	1438
187	332	1435
188	334	1435
189	335	1430
190	336	1426
191	337	1421
192	338	1416
193	339	1410
194	340	1404
195	341	1399
196	342	1397
197	344	1394
198	345	1391
199	347	1389
200	348	1384
201	349	1379
202	349	1373
203	350	1368
204	351	1363
205	352	1357
206	353	1352
207	353	1347
208	354	1343
209	355	1339
210	357	1336
211	358	1333
212	360	1331
213	362	1330
214	363	1325
215	363	1320
216	364	1315
217	365	1310
218	365	1305
219	366	1299
220	367	1294
221	368	1289
222	368	1285
223	369	1280
224	370	1275
225	370	1270
226	371	1266
227	372	1262
228	374	1259
229	375	1256
230	376	1251
231	376	1247
232	377	1242
233	378	1237
234	378	1233
235	379	1228
236	380	1224
237	380	1219
238	381	1215
239	382	1210
240	382	1206
241	383	1201
242	384	1197
243	385	1193
244	386	1189
245	387	1189
246	388	1185
247	390	1182
248	390	1178
249	391	1174
250	392	1170
251	393	1166
252	393	1162
253	394	1158
254	395	1154
255	395	1150
256	396	1146
